Order_ID,Date,Region,Country,Product_Category,Product_Name,Units_Sold,Unit_Price,Total_Revenue,Sales_Rep,Currency,Year
ORD-000001,2023-04-03,North America,United States,Food & Beverage,Organic Coffee Blend 1kg,58,20.1,1165.8,Valentina Lindqvist,USD,2023
ORD-000002,2022-03-03,North America,Mexico,Automotive Parts,Ceramic Brake Pad Set,27,66.62,1798.74,Michael Zhang,MXN,2022
ORD-000003,2024-05-09,North America,Mexico,Consumer Goods,Portable Blender,76,92.74,7048.24,David Smith,MXN,2024
ORD-000004,2023-07-24,Europe,Netherlands,Automotive Parts,High-Flow Air Filter,48,113.37,5441.76,Ahmed Chen,EUR,2023
ORD-000005,2023-06-26,Latin America,Brazil,Pharmaceuticals,Probiotic Complex,252,70.42,17745.84,Ingrid Al-Rashid,BRL,2023
ORD-000007,2022-07-26,Europe,United Kingdom,Apparel & Footwear,Waterproof Jacket,133,96.48,12831.84,Robert Petrov,GBP,2022
ORD-000008,2023-07-01,Europe,United Kingdom,Pharmaceuticals,Omega-3 Fish Oil,45,66.01,2970.45,Mei Anderson,GBP,2023
ORD-000009,2024-08-04,Europe,Spain,Consumer Goods,Air Purifier Home,88,156.83,13801.04,Omar Lindqvist,EUR,2024
ORD-000010,2023-04-15,Europe,Netherlands,Pharmaceuticals,Vitamin D3 Supplement,157,64.65,10150.05,Kwame Williams,EUR,2023
ORD-000012,2024-05-27,Europe,France,Food & Beverage,Freeze Dried Meal Pack,214,81.82,17509.48,Elena Sharma,EUR,2024
ORD-000013,2022-04-07,Europe,Spain,Raw Materials,Copper Wire Spool 500m,157,661.03,103781.71,Robert Garcia,EUR,2022
ORD-000014,2024-02-21,Latin America,Peru,Apparel & Footwear,Tactical Boot,99,98.65,9766.35,Michael Williams,PEN,2024
ORD-000015,2023-07-01,Middle East,United Arab Emirates,Apparel & Footwear,Compression Leggings,101,166.99,16865.99,Ahmed Dubois,AED,2023
ORD-000016,2023-06-24,Latin America,Argentina,Raw Materials,Copper Wire Spool 500m,829,817.85,677997.65,Carlos Taylor,ARS,2023
ORD-000017,2023-02-12,North America,Mexico,Food & Beverage,Freeze Dried Meal Pack,320,17.77,5686.4,Carlos Lindqvist,MXN,2023
ORD-000018,2022-02-09,Middle East,United Arab Emirates,Pharmaceuticals,Zinc Immune Support,152,16.39,2491.28,Fatima Sharma,AED,2022
ORD-000019,2024-09-22,North America,United States,Apparel & Footwear,Performance Running Shoe,202,162.83,32891.66,Ingrid Okonkwo,USD,2024
ORD-000020,2022-12-05,Europe,Netherlands,Raw Materials,Stainless Steel Rod,1219,335.86,409413.34,Mei Mueller,EUR,2022
ORD-000021,2024-03-28,Europe,Spain,Consumer Goods,Robot Vacuum V2,75,313.55,23516.25,Elena Patel,EUR,2024
ORD-000022,2023-04-06,Middle East,Turkey,Apparel & Footwear,Waterproof Jacket,9,33.78,304.02,Hassan Lindqvist,TRY,2023
ORD-000023,2022-05-26,Europe,Spain,Consumer Goods,Stainless Steel Cookware Set,8,253.58,2028.64,Priya Chen,EUR,2022
ORD-006786,2022-03-28,Middle East,United Arab Emirates,Apparel & Footwear,Merino Wool Sweater,103,152.52,15709.56,John Smith,AED,2022
ORD-000024,2023-05-03,North America,Canada,Apparel & Footwear,Compression Leggings,129,70.94,9151.26,Yuki Lindqvist,CAD,2023
ORD-000025,2024-08-26,Europe,Netherlands,Raw Materials,Aluminum Sheet 2mm,220,708.06,155773.2,Ahmed Al-Rashid,EUR,2024
ORD-000026,2024-08-14,Latin America,Colombia,Automotive Parts,Synthetic Motor Oil 5L,7,470.87,3296.09,Valentina Anderson,COP,2024
ORD-000027,2022-08-12,North America,United States,Automotive Parts,High-Flow Air Filter,27,158.61,4282.47,Ingrid Patel,USD,2022
ORD-000028,2024-08-05,Europe,Italy,Industrial Equipment,Conveyor Belt System,2,3103.0,6206.0,Ravi Lindqvist,EUR,2024
ORD-000029,2023-04-30,North America,United States,Electronics,4K Monitor Pro,30,213.47,6404.1,Amara Tanaka,USD,2023
ORD-000030,2022-01-05,Latin America,Brazil,Industrial Equipment,Industrial Air Compressor,4,8381.36,33525.44,Ravi Dubois,BRL,2022
ORD-000031,2023-01-24,Latin America,Peru,Raw Materials,Aluminum Sheet 2mm,58,231.64,13435.12,Hassan Lindqvist,PEN,2023
ORD-000032,2022-04-13,North America,Mexico,Pharmaceuticals,Vitamin D3 Supplement,248,49.52,12280.96,Michael Garcia,MXN,2022
ORD-000033,2022-05-21,North America,Mexico,Apparel & Footwear,Waterproof Jacket,177,123.17,21801.09,Priya Mensah,MXN,2022
ORD-000034,2022-03-23,North America,Mexico,Consumer Goods,Portable Blender,48,201.95,9693.6,Valentina Abbas,MXN,2022
ORD-000035,2023-02-23,Middle East,Egypt,Pharmaceuticals,Probiotic Complex,132,46.29,6110.28,Priya Williams,EGP,2023
ORD-000036,2023-10-10,Latin America,Argentina,Food & Beverage,Energy Drink Case 24x,513,88.53,45415.89,Wei Smith,ARS,2023
ORD-000037,2023-03-13,Latin America,Peru,Apparel & Footwear,Performance Running Shoe,34,97.61,3318.74,Elena Chen,PEN,2023
ORD-000038,2024-06-16,Europe,United Kingdom,Food & Beverage,Organic Coffee Blend 1kg,388,80.52,31241.76,Fatima Zhang,GBP,2024
ORD-000039,2022-10-03,Middle East,United Arab Emirates,Food & Beverage,Premium Olive Oil 5L,488,32.7,15957.6,Ahmed Lindqvist,AED,2022
ORD-000041,2022-04-15,Asia-Pacific,India,Raw Materials,Carbon Fiber Roll,420,113.25,47565.0,David Johnson,INR,2022
ORD-000042,2022-11-27,North America,Canada,Industrial Equipment,Conveyor Belt System,10,9050.02,90500.2,Omar Mueller,CAD,2022
ORD-000043,2022-11-02,Middle East,United Arab Emirates,Apparel & Footwear,Performance Running Shoe,118,138.01,16285.18,Hassan Lindqvist,AED,2022
ORD-000044,2023-09-24,Europe,Italy,Industrial Equipment,Hydraulic Press M3,1,4043.46,4043.46,Elena Tanaka,EUR,2023
ORD-000045,2024-04-12,Europe,Netherlands,Apparel & Footwear,Merino Wool Sweater,186,176.39,32808.54,Sarah Sharma,EUR,2024
ORD-000046,2023-01-03,Europe,France,Automotive Parts,Ceramic Brake Pad Set,36,319.75,11511.0,Sophie Rossi,EUR,2023
ORD-000047,2024-02-23,Europe,United Kingdom,Industrial Equipment,Hydraulic Press M3,6,7028.46,42170.76,Priya Tanaka,GBP,2024
ORD-001485,2023-10-24,Europe,Italy,Industrial Equipment,Industrial Air Compressor,7,4238.51,29669.57,Valentina Abbas,EUR,2023
ORD-000048,2023-04-02,Latin America,Colombia,Food & Beverage,Organic Coffee Blend 1kg,102,11.29,1151.58,Kwame Brown,COP,2023
ORD-000049,2024-11-09,Asia-Pacific,Japan,Food & Beverage,Protein Supplement 2kg,529,50.36,26640.44,Ingrid Brown,JPY,2024
ORD-000050,2023-06-28,North America,United States,Food & Beverage,Organic Coffee Blend 1kg,330,13.7,4521.0,Sophie Petrov,USD,2023
ORD-000051,2023-01-25,Asia-Pacific,South Korea,Apparel & Footwear,Tactical Boot,158,56.97,9001.26,Sophie Smith,KRW,2023
ORD-000052,2024-06-02,Middle East,Egypt,Consumer Goods,Robot Vacuum V2,90,45.24,4071.6,John Zhang,EGP,2024
ORD-000053,2024-11-04,Asia-Pacific,Singapore,Apparel & Footwear,Merino Wool Sweater,130,91.23,11859.9,John Mensah,SGD,2024
ORD-000054,2024-05-11,Asia-Pacific,India,Industrial Equipment,CNC Milling Unit,7,6816.82,47717.74,Valentina Garcia,INR,2024
ORD-000055,2022-01-01,Middle East,Egypt,Food & Beverage,Energy Drink Case 24x,99,29.15,2885.85,Sophie Abbas,EGP,2022
ORD-000056,2024-06-24,Middle East,Israel,Raw Materials,Industrial Grade Resin,559,584.55,326763.45,Amara Garcia,ILS,2024
ORD-000057,2023-04-27,North America,Canada,Pharmaceuticals,Vitamin D3 Supplement,114,55.16,6288.24,Yuki Okonkwo,CAD,2023
ORD-000058,2022-05-30,North America,United States,Consumer Goods,Ergonomic Office Chair,81,170.28,13792.68,Hassan Tanaka,USD,2022
ORD-000059,2022-10-30,Latin America,Chile,Automotive Parts,LED Headlight Kit,1,355.25,355.25,Ahmed Mueller,CLP,2022
ORD-000060,2023-05-26,Europe,France,Raw Materials,Copper Wire Spool 500m,134,738.09,98904.06,Ravi Okonkwo,EUR,2023
ORD-000061,2024-10-30,Latin America,Peru,Pharmaceuticals,Zinc Immune Support,299,43.66,13054.34,Ravi Garcia,PEN,2024
ORD-000062,2023-07-22,Latin America,Chile,Food & Beverage,Organic Coffee Blend 1kg,303,78.38,23749.14,Amara Anderson,CLP,2023
ORD-000063,2023-08-09,Europe,United Kingdom,Raw Materials,Copper Wire Spool 500m,381,243.93,92937.33,John Lindqvist,GBP,2023
ORD-000064,2024-02-24,North America,United States,Industrial Equipment,CNC Milling Unit,3,5674.01,17022.03,Wei Mueller,USD,2024
ORD-000065,2022-05-08,Latin America,Colombia,Raw Materials,Industrial Grade Resin,440,205.12,90252.8,Kwame Abbas,COP,2022
ORD-000066,2022-01-13,North America,Mexico,Automotive Parts,Synthetic Motor Oil 5L,33,402.12,13269.96,Kwame Mueller,MXN,2022
ORD-000067,2023-03-26,Middle East,Egypt,Consumer Goods,Ergonomic Office Chair,56,99.05,5546.8,James Mensah,EGP,2023
ORD-000068,2024-08-15,Asia-Pacific,Singapore,Automotive Parts,LED Headlight Kit,74,499.15,36937.1,James Mensah,SGD,2024
ORD-000069,2024-05-27,Middle East,Egypt,Electronics,4K Monitor Pro,30,199.91,5997.3,Carlos Johnson,EGP,2024
ORD-000070,2024-07-20,Asia-Pacific,South Korea,Pharmaceuticals,Omega-3 Fish Oil,218,38.38,8366.84,David Mueller,KRW,2024
ORD-000071,2022-04-17,Asia-Pacific,Japan,Raw Materials,Copper Wire Spool 500m,349,759.92,265212.08,Priya Anderson,JPY,2022
ORD-000072,2023-05-22,North America,Mexico,Electronics,4K Monitor Pro,2,251.47,502.94,Mei Okonkwo,MXN,2023
ORD-000073,2023-03-23,Europe,France,Raw Materials,Copper Wire Spool 500m,244,358.89,87569.16,Elena Garcia,EUR,2023
ORD-000074,2023-09-30,Middle East,Egypt,Apparel & Footwear,Waterproof Jacket,11,43.68,480.48,Fatima Abbas,EGP,2023
ORD-000075,2023-05-13,Latin America,Chile,Consumer Goods,Stainless Steel Cookware Set,99,53.62,5308.38,Unknown,CLP,2023
ORD-000076,2024-12-27,Middle East,United Arab Emirates,Electronics,Industrial Sensor X2,32,589.92,18877.44,Wei Taylor,AED,2024
ORD-000077,2022-08-05,Asia-Pacific,Japan,Automotive Parts,Synthetic Motor Oil 5L,50,252.45,12622.5,Robert Patel,JPY,2022
ORD-000078,2023-07-08,Europe,Italy,Industrial Equipment,Welding Station Pro,9,6986.27,62876.43,Amara Patel,EUR,2023
ORD-000079,2023-05-18,Latin America,Peru,Food & Beverage,Protein Supplement 2kg,54,76.45,4128.3,David Patel,PEN,2023
ORD-000080,2022-02-28,Europe,Italy,Automotive Parts,High-Flow Air Filter,33,209.85,6925.05,Carlos Diallo,EUR,2022
